disasterNumber,declarationDate,incidentType,pwNumber,applicationTitle,applicantId,damageCategoryCode,damageCategoryDescrip,projectStatus,projectProcessStep,projectSize,county,countyCode,stateAbbreviation,stateNumberCode,projectAmount,federalShareObligated,totalObligated,lastObligationDate,firstObligationDate,mitigationAmount,gmProjectId,gmApplicantId,lastRefresh,hash
4856,2025-01-08T00:00:00.000Z,Wildfire,128,"Citywide Debris Removal - January 7 to February 11, 2025",037-40830-00,A,Debris Removal,Active,Pending Closeout Completion,Small,Los Angeles County,37,CA,6,51017.1,38262.83,38262.83,2025-10-21T18:16:18.000Z,2025-10-21T18:16:18.000Z,0.0,948944,233880,2025-11-13T15:06:36.991Z,2b778064fa7ea6fe4a83c8e52b2a2aca4eafc711
4856,2025-01-08T00:00:00.000Z,Wildfire,797,SCADA Antenna/Repeater System,037-40830-00,F,Utilities,Active,Pending Closeout Completion,Small,Los Angeles County,37,CA,6,10191.04,7643.28,7643.28,2025-09-12T21:15:31.000Z,2025-09-12T21:15:31.000Z,0.0,953956,233880,2025-11-13T15:06:36.991Z,55fad9a00458fdd3d16c9e99d7dddc9631ef6bc3
4856,2025-01-08T00:00:00.000Z,Wildfire,139,Citywide Debris Removal - (1/8/25 to 1/21/25) 75% Fed Share,037-62896-00,A,Debris Removal,Active,Pending Closeout Completion,Small,Los Angeles County,37,CA,6,32373.64,24280.23,24280.23,2025-09-25T23:15:15.000Z,2025-09-25T23:15:15.000Z,0.0,949109,233671,2025-11-13T15:06:36.991Z,5b20d80e985979f0e1f776f326f2ad704d9d9568
4856,2025-01-08T00:00:00.000Z,Wildfire,140,Rosemead EOC Activation and Residential PSA (1/7 to 1/25/25 = 100% Federal Cost Share),037-62896-00,B,Emergency Protective Measures,Active,Pending Closeout Completion,Small,Los Angeles County,37,CA,6,10530.72,10530.72,10530.72,2025-09-12T21:15:20.000Z,2025-09-12T21:15:20.000Z,0.0,949110,233671,2025-11-13T15:06:36.991Z,a7643d8be594047fd79718717e142a1a0860b438
4856,2025-01-08T00:00:00.000Z,Wildfire,143,Rosemead Park Snack Bar Roof,037-62896-00,G,"Parks, Recreational Facilities, and Other Items",Active,Pending Closeout Completion,Small,Los Angeles County,37,CA,6,4950.0,3712.5,3712.5,2025-07-23T16:15:27.000Z,2025-07-23T16:15:27.000Z,0.0,949195,233671,2025-11-13T15:06:36.991Z,8eb145aa6c1dd145640fc4e257539dae68cce823
4856,2025-01-08T00:00:00.000Z,Wildfire,661,DR4856-CA - DP&R: Charles S. Farnsworth Park Restroom and Comfort Station #1 Package,037-99037-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,39775.67,29831.76,29831.76,2025-11-17T18:15:15.000Z,2025-11-17T18:15:15.000Z,0.0,953276,233906,2025-11-18T15:05:59.141Z,70fabac3fc26ac98875a2d07d6a6d0f16ada8850
4856,2025-01-08T00:00:00.000Z,Wildfire,889,Calaveras Reservoir,037-56000-00,D,Water Control Facilities,Active,Obligated,Small,Los Angeles County,37,CA,6,25000.0,18750.0,18750.0,2025-11-17T18:15:17.000Z,2025-11-17T18:15:17.000Z,0.0,957200,233629,2025-11-18T15:05:59.141Z,f3e56e8e86a82b4abb5b787e1b9beda7446a4dc3
4856,2025-01-08T00:00:00.000Z,Wildfire,89,ACCD - Debris Removal - 75% Fed Share (1/7/25 - 3/2/25),037-00212-00,A,Debris Removal,Active,Obligated,Small,Los Angeles County,37,CA,6,11041.25,8280.94,8280.94,2025-11-17T05:15:12.000Z,2025-08-01T23:15:13.000Z,0.0,826882,233998,2025-11-18T15:05:59.141Z,03c155d27840ce0f1196a2ea7708de63e338731d
4856,2025-01-08T00:00:00.000Z,Wildfire,184,PUSD-Odyssey Charter/Audubon Campus-Exterior/Interior Damages,037-1812E-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,12599.05,9449.29,9449.29,2025-11-17T18:15:14.000Z,2025-11-17T18:15:14.000Z,12599.05,949763,233966,2025-11-18T15:05:59.141Z,1e8c5578dbc07918939d21b42c383895630d48c0
4856,2025-01-08T00:00:00.000Z,Wildfire,337,PW Street Services - Dewatering Wells,037-44000-00,F,Utilities,Active,Obligated,Small,Los Angeles County,37,CA,6,36470.71,27353.04,27353.04,2025-11-17T18:15:13.000Z,2025-11-17T18:15:13.000Z,0.0,951280,233619,2025-11-18T15:05:59.141Z,562507e91b1b31fa1562798b20ad3143f3d14469
4856,2025-01-08T00:00:00.000Z,Wildfire,1037,CalTech - Debris Removal - 100% Fed Share (3/3/2025 - 8/29/2025),037-0837C-00,A,Debris Removal,Active,Obligated,Small,Los Angeles County,37,CA,6,6560.1,6560.1,6560.1,2025-11-17T18:15:18.000Z,2025-11-17T18:15:18.000Z,0.0,965986,233945,2025-11-18T15:05:59.141Z,3fea0d768c52da1d0d4cfbe7064b858462942593
4856,2025-01-08T00:00:00.000Z,Wildfire,1044,"Burbank, City of ¿ Debris Removal ¿ 100% Fed Share (3/3/2025 - 8/29/25)",037-08954-00,A,Debris Removal,Active,Obligated,Small,Los Angeles County,37,CA,6,86500.0,86500.0,86500.0,2025-11-17T18:15:18.000Z,2025-11-17T18:15:18.000Z,0.0,966159,233947,2025-11-18T15:05:59.141Z,8963f59c18df8621950937cbc56d2ebaf5ec6e36
4856,2025-01-08T00:00:00.000Z,Wildfire,2,City-Wide Debris Removal (75% Fed Share | 1/7/25-2/27/25),037-38996-00,A,Debris Removal,Active,Pending Closeout Completion,Small,Los Angeles County,37,CA,6,508795.92,381596.94,381596.94,2025-11-18T19:15:25.000Z,2025-08-11T18:15:13.000Z,0.0,817902,233895,2025-12-04T15:07:01.500Z,07904d6106844ac967ae5a4f8ac1a59feb01e702
4856,2025-01-08T00:00:00.000Z,Wildfire,354,Zoo - Los Angeles Zoo,037-44000-00,G,"Parks, Recreational Facilities, and Other Items",Active,Obligated,Small,Los Angeles County,37,CA,6,129060.26,96795.2,96795.2,2025-11-19T00:15:18.000Z,2025-11-19T00:15:18.000Z,14206.87,951523,233619,2025-11-20T15:06:20.265Z,5565490f7f9185af3bf98fb09a76b835345232bb
4856,2025-01-08T00:00:00.000Z,Wildfire,537,"Sidewalks, light poles and traffic signals",037-48648-00,C,Roads and Bridges,Active,Obligated,Small,Los Angeles County,37,CA,6,6845.67,5134.26,5134.26,2025-11-19T00:15:19.000Z,2025-11-19T00:15:19.000Z,0.0,952823,233841,2025-11-20T15:06:20.265Z,83e6679974a2ee937fbef7a94bb61d47e564a4c4
4856,2025-01-08T00:00:00.000Z,Wildfire,1035,"California Department of Toxic Substances Control- Debris Removal (FORCE ACCOUNT LABOR ONLY 03/03/25 - 08/29/25, 100% Federal Cost Share",000-UHTGN-00,A,Debris Removal,Active,Obligated,Small,Statewide,67,CA,6,21499.92,21499.92,21499.92,2025-11-19T00:15:17.000Z,2025-11-19T00:15:17.000Z,0.0,965620,233641,2025-11-20T15:06:20.265Z,5fb99bf5df2e2ca8b0e331febdc57d1a198d2637
4856,2025-01-08T00:00:00.000Z,Wildfire,1052,Duarte USD Management Costs 4856,037-067BE-00,Z,Management Costs,Active,Obligated,Small,Los Angeles County,37,CA,6,5164.7,5164.7,5164.7,2025-11-19T00:15:20.000Z,2025-11-19T00:15:20.000Z,0.0,966455,233614,2025-11-20T15:06:20.265Z,8a3e7d3ad0922f35022242c856642694de6dfbe1
4856,2025-01-08T00:00:00.000Z,Wildfire,437,Temescal Gateway Park Trees ¿ Debris Removal ¿ 75% Fed Share (1/7/2025 ¿ 3/2/2025 - 8/30/25 - 1/6/25),037-UZRER-00,A,Debris Removal,Active,Obligated,Small,Los Angeles County,37,CA,6,9780.47,7335.36,7335.36,2025-11-19T00:15:17.000Z,2025-11-19T00:15:17.000Z,0.0,952465,233583,2025-11-20T15:06:20.265Z,c3fb0b8d2240c8b4890fb7be4f63c1ef5af96bbc
4856,2025-01-08T00:00:00.000Z,Wildfire,1012,Management Costs,000-UUJ4B-00,Z,Management Costs,Active,Obligated,Small,Statewide,67,CA,6,3566.43,3566.43,3566.43,2025-12-04T20:15:30.000Z,2025-12-04T20:15:30.000Z,0.0,963991,233687,2025-12-05T15:19:37.567Z,b6874e05e2446dd5eee1276dccef608c66ff3967
4856,2025-01-08T00:00:00.000Z,Wildfire,1019,Cal OES DR-4856 - Debris Removal - 100% Fed Share (3/3/2025 - 4/27/2025),000-U9VWF-00,A,Debris Removal,Active,Obligated,Small,Statewide,67,CA,6,45148.27,45148.27,45148.27,2025-12-10T20:15:42.000Z,2025-12-10T20:15:42.000Z,0.0,964453,233591,2025-12-11T15:07:03.588Z,463e2bd2b616257b2952817b92326ec2b3460ff7
4856,2025-01-08T00:00:00.000Z,Wildfire,994,CATB - Starlink,037-56000-00,B,Emergency Protective Measures,Active,Obligated,Small,Los Angeles County,37,CA,6,11140.5,11140.5,11140.5,2025-12-11T19:15:18.000Z,2025-12-11T19:15:18.000Z,0.0,962711,233629,2025-12-12T15:06:27.375Z,e4f20cc0d59086c5fe5511e934f26a24e5a6784d
4856,2025-01-08T00:00:00.000Z,Wildfire,966,Will Rogers State Park - Hazardous Canopy Tree Damage 75% Cost Share 10/27/2025 - 11/30/2025,000-U8RA6-00,A,Debris Removal,Active,Obligated,Small,Statewide,67,CA,6,24300.0,18225.0,18225.0,2025-12-11T19:15:17.000Z,2025-12-11T19:15:17.000Z,0.0,960105,233878,2025-12-12T15:06:27.375Z,36f01a3f95636b0bcf17474421da7f3fd8477cfa
4856,2025-01-08T00:00:00.000Z,Wildfire,1020,Debris Monitoring - 100% Fed Share (03/03/25 - 06/19/25),000-U52Z0-00,A,Debris Removal,Active,Obligated,Small,Statewide,67,CA,6,83692.37,83692.37,83692.37,2025-12-15T22:15:13.000Z,2025-12-15T22:15:13.000Z,0.0,964467,233623,2025-12-16T15:06:09.571Z,6fe7cab875c56374a22f397bf3b9fc65f4e29c27
4856,2025-01-08T00:00:00.000Z,Wildfire,1058,Management Costs,037-33518-00,Z,Management Costs,Active,Obligated,Small,Los Angeles County,37,CA,6,4518.36,4518.36,4518.36,2025-12-15T22:15:12.000Z,2025-12-15T22:15:12.000Z,0.0,966801,233914,2025-12-16T15:06:09.571Z,29e9b14e0bdc693df98885f2b1f63fb39dc7013f
4856,2025-01-08T00:00:00.000Z,Wildfire,469,DR4856-CA - LA County - DPW - WWD - Saddle Peak Tank and Watermain,037-99037-00,F,Utilities,Active,Obligated,Small,Los Angeles County,37,CA,6,118584.26,88938.2,88938.2,2025-12-31T18:15:18.000Z,2025-12-31T18:15:18.000Z,0.0,952607,233906,2026-01-01T15:06:43.235Z,b7adf79d5aa84ac94cee9c40f7c0e74f8de74616
4856,2025-01-08T00:00:00.000Z,Wildfire,1069,Management Costs,037-UGGHS-00,Z,Management Costs,Active,Obligated,Small,Los Angeles County,37,CA,6,661.45,661.45,661.45,2025-12-31T18:15:20.000Z,2025-12-31T18:15:20.000Z,0.0,1063432,233916,2026-01-01T15:06:43.235Z,d29502579d8312556f96228c00b9445a90352320
4856,2025-01-08T00:00:00.000Z,Wildfire,494,"The Rector, Wardens and Vestry of Saint Mark's Parish-Campuswide Fixtures, Furnishings and Equipment",037-12496-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,10000.0,7500.0,7500.0,2026-01-07T19:15:15.000Z,2026-01-07T19:15:15.000Z,0.0,952713,233996,2026-01-08T15:05:38.182Z,236a81024096805b3028c7ca64923e87cc0594b3
4856,2025-01-08T00:00:00.000Z,Wildfire,1070,Hillside Church - Management Costs,037-UPZXG-00,Z,Management Costs,Active,Obligated,Small,Los Angeles County,37,CA,6,13633.71,13633.71,13633.71,2026-01-07T19:15:17.000Z,2026-01-07T19:15:17.000Z,0.0,1063831,234019,2026-01-08T15:05:38.182Z,2a6556227393d41d724618f49407b5dad74f775f
4856,2025-01-08T00:00:00.000Z,Wildfire,32,VHC West LA Resident Evacuation 100% Fed Share,000-UYVCL-00,B,Emergency Protective Measures,Active,Pending Closeout Completion,Small,Statewide,67,CA,6,59897.95,59897.95,59897.95,2025-07-01T04:15:14.000Z,2025-07-01T04:15:14.000Z,0.0,824750,233686,2026-01-13T15:05:28.666Z,53599070d29ea3d6618e2793fa89bb64fab93274
4856,2025-01-08T00:00:00.000Z,Wildfire,1059,Management Costs,037-67042-00,Z,Management Costs,Active,Obligated,Small,Los Angeles County,37,CA,6,6054.91,6054.91,6054.91,2026-01-14T05:15:17.000Z,2026-01-14T05:15:17.000Z,0.0,966803,233989,2026-01-15T15:05:37.998Z,eabb83a0d759c2a0558aef25680ccdf6b1ff1011
4856,2025-01-08T00:00:00.000Z,Wildfire,19, TEMPLE CITY HS - Athletic Field Fencing Damages,037-0D5EA-00,G,"Parks, Recreational Facilities, and Other Items",Active,Obligated,Small,Los Angeles County,37,CA,6,45410.0,34057.5,34057.5,2026-01-16T16:15:15.000Z,2026-01-16T16:15:15.000Z,0.0,818597,233994,2026-01-17T15:06:06.870Z,e856408849a2bcb5301bf733a5c92483068537df
4856,2025-01-08T00:00:00.000Z,Wildfire,888,La Pintoresca and Hill LIbraries,037-56000-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,14122.74,10592.06,10592.06,2026-01-16T16:15:14.000Z,2026-01-16T16:15:14.000Z,0.0,957199,233629,2026-01-17T15:06:06.870Z,f1cfaef7ada8d8cd918b17d75400e35463befa39
4856,2025-01-08T00:00:00.000Z,Wildfire,977,Solar Panel and Advanced Metering Infrastructure Damage Repair,037-UIRE8-00,F,Utilities,Active,Obligated,Small,Los Angeles County,37,CA,6,9059.88,6794.91,6794.91,2026-01-16T16:15:13.000Z,2026-01-16T16:15:13.000Z,0.0,961103,233613,2026-01-17T15:06:06.870Z,e3f9cc67a34adea2c8265a5453c49ddef9318f99
4856,2025-01-08T00:00:00.000Z,Wildfire,1009,Santa Anita Family YMCA,037-1CF6B-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,11600.0,8700.0,8700.0,2026-01-16T16:15:17.000Z,2026-01-16T16:15:17.000Z,0.0,963653,234026,2026-01-17T15:06:06.870Z,cb2772607d8133d9f2c3500cc9b2a6099dc9e4e5
4856,2025-01-08T00:00:00.000Z,Wildfire,296,MUSD Emergency Protective Measures,037-UEJET-00,B,Emergency Protective Measures,Active,Obligated,Small,Los Angeles County,37,CA,6,7692.08,7692.08,7692.08,2026-01-20T19:15:14.000Z,2026-01-20T19:15:14.000Z,0.0,951007,233999,2026-01-21T15:05:44.133Z,59407c6f4c589d2f9b9b4c271afa9268a1e54af2
4856,2025-01-08T00:00:00.000Z,Wildfire,403,TPP Bridge #Bridge #868 on Gorge Road over Las Flores Creek,037-99037-00,C,Roads and Bridges,Active,Obligated,Small,Los Angeles County,37,CA,6,39790.01,29842.51,29842.51,2026-01-20T19:15:14.000Z,2026-01-20T19:15:14.000Z,0.0,952323,233906,2026-01-21T15:05:44.133Z,e96cc3996cfee8069bd1a52b908a2ac0fa1aa556
4856,2025-01-08T00:00:00.000Z,Wildfire,406,DR4856-CA - LA County - DPW - RMD Bridge Post @ Bridge #4063 & 4073 at MM 0.56 & 0.63 (Road Yard 524),037-99037-00,C,Roads and Bridges,Active,Obligated,Small,Los Angeles County,37,CA,6,11880.66,8910.5,8910.5,2026-01-20T19:15:15.000Z,2026-01-20T19:15:15.000Z,0.0,952353,233906,2026-01-21T15:05:44.133Z,41982147f31c62ad7830d8a8aa04f845311eb8d8
4856,2025-01-08T00:00:00.000Z,Wildfire,444,DR4856-CA - LA County - DPW - SWMD-East - Devil's Gate Dam Window Replacement,037-99037-00,D,Water Control Facilities,Active,Obligated,Small,Los Angeles County,37,CA,6,4897.6,3673.2,3673.2,2026-01-20T19:15:16.000Z,2026-01-20T19:15:16.000Z,0.0,952542,233906,2026-01-21T15:05:44.133Z,7f4b46dc4ee13b4f9744496334b59023df549f77
4856,2025-01-08T00:00:00.000Z,Wildfire,449,DR4856-CA - LA County - DPW - SWMD-East - San Gabriel Dam Roof Repair,037-99037-00,D,Water Control Facilities,Active,Obligated,Small,Los Angeles County,37,CA,6,23880.56,17910.42,17910.42,2026-01-20T19:15:16.000Z,2026-01-20T19:15:16.000Z,0.0,952547,233906,2026-01-21T15:05:44.133Z,726525f9873317c1dedb55981851e1b022417326
4856,2025-01-08T00:00:00.000Z,Wildfire,468,"DR4856-CA - LA County - DPW - WWD - Lower Big Rock 195 Pump Station Electrical Conduits, Fence, and Damaged Generator Wheels",037-99037-00,F,Utilities,Active,Obligated,Small,Los Angeles County,37,CA,6,68788.0,51591.0,51591.0,2026-01-20T19:15:17.000Z,2026-01-20T19:15:17.000Z,0.0,952606,233906,2026-01-21T15:05:44.133Z,4b3d550d0af9799a2ee1de4ba0e20bbfa5a5ee0e
4856,2025-01-08T00:00:00.000Z,Wildfire,482,"The Rector, Wardens and Vestry of Saint Mark's Parish-New Pre-School Building Damages",037-12496-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,36655.48,27491.61,27491.61,2026-01-20T19:15:19.000Z,2026-01-20T19:15:19.000Z,0.0,952698,233996,2026-01-21T15:05:44.133Z,ccfecffbcf4d5b198c98db4a220685970c2a5529
4856,2025-01-08T00:00:00.000Z,Wildfire,518,Saint Marks School - Contents,037-UKW77-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,9000.0,6750.0,6750.0,2026-01-20T19:15:18.000Z,2026-01-20T19:15:18.000Z,0.0,952804,234006,2026-01-21T15:05:44.133Z,21fdc7c4769f5afbe607785fcd3635577eb84008
4856,2025-01-08T00:00:00.000Z,Wildfire,603,DR4856-CA - LA County -DBH - Castle Rock Restrooms and Parking Lot,037-99037-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,130222.54,97666.91,97666.91,2026-01-20T19:15:20.000Z,2026-01-20T19:15:20.000Z,0.0,953033,233906,2026-01-21T15:05:44.133Z,3f51b8351f1b01dc488217067f7684f88418fba0
4856,2025-01-08T00:00:00.000Z,Wildfire,604,DR4856-CA - LA County - DBH - Temescal Women's Restroom Repair,037-99037-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,40196.09,30147.07,30147.07,2026-01-20T19:15:19.000Z,2026-01-20T19:15:19.000Z,0.0,953035,233906,2026-01-21T15:05:44.133Z,679f5e13e0e4e67776ab443d43816bfedf1a0d78
4856,2025-01-08T00:00:00.000Z,Wildfire,700,DR4856-CA - LA County - DP&R: Eaton Canyon Group Picnic Structure and Trash Enclosure,037-99037-00,G,"Parks, Recreational Facilities, and Other Items",Active,Obligated,Small,Los Angeles County,37,CA,6,116885.44,87664.08,87664.08,2026-01-20T19:15:21.000Z,2026-01-20T19:15:21.000Z,0.0,953547,233906,2026-01-21T15:05:44.133Z,f1aa2c302b1144001f7781cdd87e3cf4eed3e9b0
4856,2025-01-08T00:00:00.000Z,Wildfire,196,"Alhambra Unified School District Debris Removal/January 13, 2025 to January 30, 2025",037-0755A-00,A,Debris Removal,Active,Obligated,Small,Los Angeles County,37,CA,6,12978.45,9733.84,9733.84,2026-01-20T19:15:12.000Z,2026-01-20T19:15:12.000Z,0.0,950154,233949,2026-01-21T15:05:44.133Z,c47e0542a646a05089abd2ac8307064ddbbc4229
4856,2025-01-08T00:00:00.000Z,Wildfire,471,"DR4856-CA - LA County - DPW - WWD - Topanga Beach Sunset Mesa Tanks 1 and 2, and Fence",037-99037-00,F,Utilities,Active,Obligated,Small,Los Angeles County,37,CA,6,64215.05,48161.29,48161.29,2026-01-20T19:15:17.000Z,2026-01-20T19:15:17.000Z,0.0,952609,233906,2026-01-21T15:05:44.133Z,1623dbdddbaf7e790ddeba3b4f307f194becddfb
4856,2025-01-08T00:00:00.000Z,Wildfire,67,OK-Playground & fences,037-U76Z7-00,G,"Parks, Recreational Facilities, and Other Items",Active,Obligated,Small,Los Angeles County,37,CA,6,51100.0,38325.0,38325.0,2026-01-22T23:15:13.000Z,2026-01-22T23:15:13.000Z,0.0,826304,233962,2026-01-23T15:06:09.537Z,471cc28ac4e62713c41214460cfb08459a7ba2c7
4856,2025-01-08T00:00:00.000Z,Wildfire,155,Debris Removal 100% Cost Share 6/16/25 - 7/1/25,037-UB9Q1-00,A,Debris Removal,Active,Obligated,Small,Los Angeles County,37,CA,6,22326.19,22326.19,22326.19,2026-01-23T18:15:51.000Z,2026-01-23T18:15:51.000Z,0.0,949414,233977,2026-01-24T15:06:25.771Z,9ab411bf0ab9f4b85ef395b7216c438e8e06e723
4856,2025-01-08T00:00:00.000Z,Wildfire,49,SS-Interior Building & Septic Repair,037-UB9Q1-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,132392.57,99294.43,99294.43,2026-01-23T18:15:45.000Z,2026-01-23T18:15:45.000Z,0.0,825562,233977,2026-01-24T15:06:25.771Z,e45174163c57c5a92e2af4e4490def6f7d67801e
4856,2025-01-08T00:00:00.000Z,Wildfire,114,Aveson Schools ,037-UTDIN-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,107401.9,80551.43,80551.43,2026-01-23T18:15:47.000Z,2026-01-23T18:15:47.000Z,0.0,948778,233706,2026-01-24T15:06:25.771Z,db798979a27e4c166aabd33f52a8f89a8b053901
4856,2025-01-08T00:00:00.000Z,Wildfire,502,"Pasadena Rosebud Academy-Fixtures, Furnishings and Equipment",037-U1OA9-00,E,Buildings and Equipment,Active,Obligated,Small,Los Angeles County,37,CA,6,5000.0,3750.0,3750.0,2026-01-23T18:15:45.000Z,2026-01-23T18:15:45.000Z,0.0,952764,233879,2026-01-24T15:06:25.771Z,279c20f933422998b259973ebda158b6aa2c41aa
4856,2025-01-08T00:00:00.000Z,Wildfire,806,RCLWA Jurisdiction Wide Repairs to Water Service Delivery Components,037-U5Y80-00,F,Utilities,Active,Obligated,Small,Los Angeles County,37,CA,6,10831.7,8123.78,8123.78,2026-01-22T23:15:14.000Z,2026-01-22T23:15:14.000Z,0.0,954035,233888,2026-01-24T15:06:25.771Z,2e29df4396575951ac6f88c2790c4fa30d42cd45
4856,2025-01-08T00:00:00.000Z,Wildfire,822,Cabling and DOIT network,037-56000-00,F,Utilities,Active,Obligated,Small,Los Angeles County,37,CA,6,80222.94,60167.21,60167.21,2026-01-23T18:15:50.000Z,2026-01-23T18:15:50.000Z,0.0,954093,233629,2026-01-24T15:06:25.771Z,bec4f1e85e33f65865732c22f42b367b1b4a0005
4856,2025-01-08T00:00:00.000Z,Wildfire,1003,Jurisdiction Wide Emergency Protective Measures 75% Fed Share,037-U5Y80-00,B,Emergency Protective Measures,Active,Obligated,Small,Los Angeles County,37,CA,6,79900.0,59925.0,59925.0,2026-01-22T23:15:15.000Z,2026-01-22T23:15:15.000Z,0.0,963419,233888,2026-01-24T15:06:25.771Z,0ac94e6891073daa5b9250c2a78057e7ed4d8edc
4856,2025-01-08T00:00:00.000Z,Wildfire,73,AVESON Emergency Protective Measures (100% cost share),037-UTDIN-00,B,Emergency Protective Measures,Active,Obligated,Small,Los Angeles County,37,CA,6,58674.74,58674.74,58674.74,2026-01-23T18:15:49.000Z,2026-01-23T18:15:49.000Z,0.0,826588,233706,2026-01-24T15:06:25.771Z,c3c32e48b4a297623dd32182acd919518bef9c5e
